time,C,D,G,L,Y
0,3213973.222,11250.06718,3527.230214,553080.6467,10140.81533
1,2916008.14,102305.973,2293.537102,438355.9674,69519.27959
2,3904354.976,1670214.605,2690.405679,645797.1945,728363.5064
3,3213973.222,11641437.24,181074.0836,532061.1368,1398778.628
4,3213973.222,23245379.14,4282043.935,532061.1368,2208663.504
5,3659150.582,33732832.12,12500368.42,226865.9045,5689324.812
6,3904354.976,31985304.9,19174297.75,309303.3437,17252105.49
7,27328746.87,32847449.23,34543317.07,574930.5483,14655205.17
8,87833860.62,29532283.58,37388170.71,3989895.655,25520112.88
9,403305182.7,31985304.9,50149970.4,3162277.66,28144446.56
10,614797926.4,20899313.13,48754648.87,27689026.82,33131638.57
